Student_ID,Student_Name,Study_Hours,Attendance_Percentage,Internal_Assessment_Score,Previous_Academic_Result,Final_Grade,Gender,Age
STU2959,Ishita Reddy,3.5,73.7,27.5,43.7,D,F,18
STU2960,Ananya Jain,8.3,99.9,44.1,58.2,C,,20
STU2961,Dev Mehta,2.8,60.1,29.4,59.2,C,Male,21
STU2962,Priya Kumar,4.1,61.1,43.6,97.7,A,F,24
STU2963,Rohan Verma,4,93,39.9,75.4,B,Male,22
STU2964,Saanvi Gupta,9.8,68,52.6,87.2,A,female,20
STU2965,Aadhya Sharma,8.7,62.4,36.4,,D,F,23
STU2966,Manav Khanna,7.3,69.5,35.5,46.4,D,Male,24
STU2967,Rohan Patel,7.5,77,49.4,88.9,A,M,18
STU2968,Nisha Bansal,6.1,,44.3,77.4,B,female,23
STU2969,Yash Gupta,9.5,85,43,51.5,D,M,18
STU2970,Krishna Jain,5.5,69.5,37.2,64.3,C,Male,18
STU2971,Myra Gupta,4.4,80.1,38.5,72.3,B,F,24
STU2972,Saanvi Das,2.5,97,41.9,90.6,A,female,18
STU2973,Rohan Reddy,8.1,92.6,38.5,43.6,D,M,25
STU2974,Yash Singh,7.6,72.9,45.2,75.8,B,M,-11
STU2975,Saanvi Kapoor,4.5,99.3,43.8,83,B,F,25
STU2976,Nikhil Kumar,1.2,88.3,40.8,98.7,A,Male,17
STU2977,Aryan Kapoor,8.6,62.5,50,88.4,A,M,18
STU2978,Dev Malhotra,1.1,61.4,25.3,56.6,C,Male,22
STU2979,Aditya Saxena,,66.7,46,82.6,B,Male,22
STU2980,Ishaan Sharma,9.7,89.1,54,85.8,A,Male,17
STU2981,Kavya Nair,4.9,67.3,41.7,83.8,B,F,23
STU2982,Sai Joshi,3.1,80.5,,89.2,A,Male,24
STU2983,Anika Reddy,7.3,63.7,49.2,94.2,A,female,18
STU2984,Kavya Bansal,8.4,96.8,40.2,45.9,D,F,24
STU2985,Aarav Joshi,5.9,73.8,33.1,46.3,D,M,25
STU2986,Kavya Malhotra,9.7,96.3,55.4,87.8,A,F,22
STU2987,Shaurya Bansal,1.5,97.8,29.3,55.1,C,M,21
STU2988,Meera Kapoor,5.5,60.2,30.1,43.5,D,female,25
STU2989,Yash Khanna,7.5,78.6,42.1,64.1,C,Male,25
STU2990,Vihaan Sharma,8.8,61,50.5,89.2,A,Male,17
STU2991,Aadhya Nair,2.6,96.3,29.1,47.6,D,,19
STU2992,Rahul Verma,8.2,80.7,48.6,80.3,B,Male,25
STU2993,Tanvi Verma,6,63,30.4,40.2,D,F,18
STU2994,Meera Gupta,4.6,64.4,29.6,46.6,D,female,20
STU2995,Rahul Patel,2.2,75.3,30.3,61.1,C,M,20
STU2996,Saanvi Reddy,8.8,97.6,40.9,,D,F,18
STU2997,Arjun Mehta,2.4,87.7,40.8,90.8,A,Male,19
STU2998,Vihaan Saxena,3.8,94.7,44.6,91.8,A,Male,19
STU2999,Surya Singh,3.6,74.7,40.3,85.3,A,Male,17
STU3000,Vihaan Joshi,8.8,61.7,40.1,54.5,D,M,22
STU3001,Rohan Kumar,7.1,99,45.5,71.4,B,M,24
STU3002,Aadhya Singh,8.2,60.7,37.8,51.1,D,F,19
STU3003,Myra Reddy,3.3,97.9,33.5,56.9,C,female,21
STU3004,Aryan Jain,6.6,74.7,42,71,B,M,17
STU3005,Nisha Joshi,6.1,60.4,43.5,84.1,B,F,23
STU3006,Sai Iyer,8.5,87.6,39.5,45.7,D,M,17
STU3007,Anika Mehta,9.2,99.2,45.7,57.8,C,F,-11
STU3008,Rohan Das,1.1,98.6,40.7,95.6,A,Male,-1
STU3009,Aarav Singh,7.1,66.4,40.6,65.7,C,M,23
STU3010,Aditya Das,1.5,67.2,38.6,96.3,A,Male,23
STU3011,Saanvi Iyer,5.9,82.6,49.9,99.5,A,female,21
STU3012,Surya Patel,3.6,85.5,37.2,71.6,B,Male,21
STU3013,Saanvi Khanna,3.8,89.6,33.8,57.3,C,female,21
STU3014,Manav Kumar,4.2,67.2,41.3,87.4,A,M,17
STU3015,Myra Verma,6.6,98.4,37.9,49.6,D,female,24
STU3016,Vihaan Saxena,4,85.5,33.1,55.1,C,Male,-22
STU3017,Manav Patel,7.6,93.9,50.7,87.1,A,M,20
STU3018,Aadhya Das,4.6,81.6,37.2,,D,F,25
STU3019,Harsh Verma,1.6,76.6,26.5,52.1,D,M,25
STU3020,Aadhya Reddy,8.1,99.1,49.8,,D,F,-13
STU3021,Surya Iyer,3.6,83.3,40.7,84,B,Male,20
STU3022,Sai Kumar,4.9,94.7,33.5,47.5,D,M,19
STU3023,Tanvi Kapoor,7.2,98.1,41.2,56.6,C,F,19
STU3024,Yash Kapoor,4,87,32.7,53.3,D,Male,-13
STU3025,Myra Jain,1.5,82,30,62.8,C,female,17
STU3026,Myra Mehta,4.4,60.1,40.6,85.8,A,F,21
STU3027,Sara Verma,9.5,61.6,50,82.8,B,female,22
STU3028,Rahul Patel,6.8,68,44.3,79.8,B,M,23
STU3029,Saanvi Saxena,7,67.4,32.9,40.4,D,F,25
STU3030,Ishaan Agarwal,6.7,70.2,35,48.5,D,Male,19
STU3031,Aarav Saxena,2.8,72.2,28.8,53.4,D,Male,18
STU3032,Ayushi Kapoor,4.8,74.4,33.9,56.3,C,female,19
STU3033,Reyansh Jain,7.8,76.8,37.9,48.8,D,Male,-21
STU3034,Manav Chopra,1.9,64,29.6,64.6,C,M,-17
STU3035,Ishaan Bansal,,61.7,26.5,44.5,D,M,25
STU3036,Priya Nair,3.5,87,41.2,85,A,female,18
STU3037,Saanvi Nair,4.9,81.5,44.1,87.3,A,F,21
STU3038,Dev Singh,9.8,77.8,49.7,74.5,B,Male,20
STU3039,Surya Khanna,1.6,85.4,25.4,45.4,D,M,18
STU3040,Ira Jain,5.7,93.1,48.7,93.4,A,F,-1
STU3041,Arjun Singh,2.6,77.1,42.3,97.9,A,M,25
STU3042,Dev Joshi,9.7,85.6,43.6,52.1,D,M,22
STU3043,Nisha Agarwal,2,98.1,38.5,82.3,B,F,22
STU3044,Sara Kumar,4.6,93.6,45.7,90.5,A,F,24
STU3045,Aryan Agarwal,7.6,77,44.6,72.4,B,Male,22
STU3046,Tanvi Kumar,,85.8,41,59.4,C,female,-21
STU3047,Aadhya Kapoor,4.8,67.1,36.9,68.7,C,female,20
STU3048,Aryan Singh,4.1,82.4,37.6,70.7,B,M,-23
STU3049,Kavya Joshi,4.6,99.3,38.3,64,C,female,18
STU3050,Rahul Nair,3.4,80.7,43.6,,D,M,25
STU3051,Kavya Sharma,2.8,97.1,40.7,84.6,B,,24
STU3052,Vihaan Malhotra,5.3,76.3,34.6,54.5,D,M,24
STU3053,Krishna Sharma,3.4,100,39.3,75.1,B,Male,23
STU3054,Shaurya Bansal,3.6,83.2,39.9,81.3,B,M,20
STU3055,Shaurya Joshi,6.9,61.7,34.5,48.4,D,M,18
STU3056,Sai Nair,9.7,83.5,46.2,61.5,C,Male,19
STU3057,Aditya Gupta,6.4,71,48.2,94.3,A,Male,22
STU3058,Ritika Joshi,1.7,61.3,31.7,74,B,female,21
STU3059,Nisha Kumar,1.7,92.8,28.6,53,D,F,24
STU3060,Navya Khanna,9.6,71,40.5,47.4,D,F,22
STU3061,Reyansh Malhotra,3.7,91.9,37.9,71.1,B,Male,22
STU3062,Navya Sharma,1.8,71.5,32.6,72.9,B,F,-17
STU3063,Aarav Agarwal,6.4,67.8,37.6,60.1,C,M,20
STU3064,Shruti Khanna,6.6,99,46.4,77.8,B,F,21
STU3065,Rahul Singh,6.8,74.5,34.3,44.1,D,Male,19
STU3066,Sara Nair,3.4,84.1,29.8,48.7,D,F,25
STU3067,Aditya Patel,1.1,84.4,32.5,72.8,B,Male,17
STU3068,Sneha Sharma,9.7,82.4,40.8,43.7,D,female,22
STU3069,Aryan Mehta,3.3,96.6,44.1,92.9,A,Male,22
STU3070,Arjun Bansal,7.1,87,37.4,48.5,D,M,21
STU3071,Vihaan Chopra,7.4,76.1,46.5,80.4,B,M,-23
STU3072,Manav Kapoor,6.5,,41.5,63.5,C,M,21
STU3073,Aryan Chopra,3.8,67.2,33.5,64,C,Male,22
STU3074,Aryan Saxena,3.4,81.8,40.8,85.9,A,Male,24
STU3075,Vihaan Kapoor,6.4,98,43.6,70,B,M,18
STU3076,Anika Joshi,8.8,85,51.2,83.5,B,F,22
STU3077,Krishna Mehta,9.5,92.7,49.4,70.3,B,Male,17
STU3078,Saanvi Patel,2,86.1,35.3,75.6,B,F,20
STU3079,Ira Iyer,2.4,93.6,39.8,85.6,A,female,19
STU3080,Ishita Bansal,9.5,97.8,51.7,76.4,B,female,-7
STU3081,Diya Sharma,7.6,70.9,45.4,76.9,B,female,19
STU3082,Shruti Malhotra,8.9,66.8,50.7,87.4,A,female,22
STU3083,Aarav Verma,,79.4,42.6,96.9,A,M,17
STU3084,Rohan Nair,6.3,88.1,40.2,62.6,C,Male,22
STU3085,Ishita Singh,7.3,69.1,43.9,74.6,B,female,20
STU3086,Harsh Verma,7.1,60.2,33.8,45.2,D,M,24
STU3087,Meera Gupta,4.7,73.7,35.2,61.5,C,female,25
STU3088,Meera Patel,1.1,98.8,31.5,64.7,C,,20
STU3089,Shruti Das,6.2,87.8,48.2,90.1,A,female,22
STU3090,Ira Malhotra,3.3,76.1,35.4,70.8,B,female,17
STU3091,Priya Kapoor,5.1,67.7,42.1,83.9,B,F,20
STU3092,Meera Agarwal,9.6,74.2,39,41.1,D,F,23
STU3093,Saanvi Jain,4.6,66.8,36.2,67.9,C,F,17
STU3094,Priya Reddy,8.6,64.3,51.9,94.1,A,F,24
STU3095,Shruti Joshi,2.7,96.3,31.1,53.5,D,female,22
STU3096,Saanvi Joshi,7.1,,36.8,41.9,D,female,-9
STU3097,Sneha Nair,9.8,66.6,46.1,66,C,F,25
STU3098,Aditya Chopra,1.9,,34.7,82.3,B,Male,18
STU3099,Sai Reddy,1.1,73.2,29.7,67.3,C,M,21
STU3100,Navya Mehta,4.9,78.5,37.9,67.6,C,female,22
STU3101,Sneha Saxena,1.8,68.2,34.5,80.2,B,F,-24
STU3102,Rohan Joshi,7.7,72.1,39.2,55.3,C,M,-18
STU3103,Meera Iyer,9.2,68,50.7,85.1,A,F,25
STU3104,Ishita Iyer,4.9,91,33.7,49.2,D,F,17
STU3105,Aarav Das,3.3,88.5,34.6,63.7,C,Male,23
STU3106,Manav Nair,4.9,85.4,42.2,79.4,B,Male,-4
STU3107,Sara Patel,7.5,75.5,49.5,89.7,A,female,20
STU3108,Anika Malhotra,1.1,96.4,38.1,87.5,A,F,25
STU3109,Sai Kapoor,6.3,98.8,47.5,83.3,B,M,21
STU3110,Saanvi Kumar,6.5,66.9,38.1,61.5,C,female,20
STU3111,Reyansh Verma,6.7,68.9,34.5,47.3,D,Male,23
STU3112,Ira Malhotra,3.2,81,30.4,,D,female,20
STU3113,Shruti Saxena,7.4,63.7,48.7,91.9,A,female,19
STU3114,Ananya Khanna,1.8,77.5,38.8,91.4,A,F,25
STU3115,Shaurya Saxena,2.8,83.3,43.1,97.1,A,M,24
STU3116,Rohan Bansal,8.9,80.9,,44.6,D,Male,17
STU3117,Aadhya Saxena,7.6,73.2,44.2,72.2,B,female,23
STU3118,Kavya Chopra,1.1,81.7,34,78.9,B,female,25
STU3119,Priya Mehta,3.2,98.4,41,82.6,B,F,24
STU3120,Ira Joshi,2.9,68.2,36.2,78.6,B,female,24
STU3121,Reyansh Nair,3.4,86.2,41.3,86.2,A,M,22
STU3122,Navya Bansal,3.2,61.7,31.1,61.6,C,F,20
STU3123,Rahul Malhotra,1.6,62.7,24.7,50.8,D,Male,-22
STU3124,Myra Das,5.1,,34.1,52.3,D,female,-2
STU3125,Diya Joshi,7.6,64.2,33.8,40.7,D,female,25
STU3126,Priya Gupta,6.5,60.9,37.4,,D,F,18
STU3127,Meera Joshi,7.1,66.9,34.5,45.5,D,female,18
STU3128,Aryan Iyer,1.7,82.6,29.4,59.3,C,Male,23
STU3129,Aditya Patel,9.6,88.1,51.3,77.7,B,M,20
STU3130,Sai Kumar,8.5,68.1,51.9,,D,M,24
STU3131,Ishita Patel,8.2,86.7,52.2,90.4,A,F,-20
STU3132,Aadhya Kapoor,8.4,67.3,40.1,55.2,C,female,23
STU3133,Nisha Kapoor,9.4,84.5,41.7,48,D,F,21
STU3134,Ishita Agarwal,5.9,76.5,34.9,51.6,D,F,24
STU3135,Meera Gupta,2.8,86.2,43.7,98.3,A,F,20
STU3136,Tanvi Khanna,6.6,99.8,45.1,73,B,F,18
STU3137,Kavya Joshi,7.7,97.5,40.4,51,D,F,22
STU3138,Sneha Iyer,7.6,60.2,48.3,90.4,A,female,25
STU3139,Karthik Mehta,5.7,95.4,40,63.7,C,M,17
STU3140,Karthik Das,1.6,62.7,37.7,94,A,M,23
STU3141,Sai Saxena,4.3,98.1,35.1,55.6,C,M,25
STU3142,Priya Malhotra,9.3,71.3,44.8,63.6,C,female,25
STU3143,Tanvi Saxena,6.3,75.3,41.2,70.3,B,female,19
STU3144,Shruti Joshi,5.8,63.7,46,93.6,A,F,21
STU3145,Manav Das,3.4,64.5,40.9,92.1,A,M,24
STU3146,Meera Das,,89.1,39.9,74.5,B,F,-17
STU3147,Aarav Khanna,9.1,97.8,44,53.3,D,M,20
STU3148,Sai Agarwal,7,84.4,41.7,64.2,C,Male,17
STU3149,Tanvi Patel,8.1,88.6,54.6,98.5,A,female,17
STU3150,Krishna Khanna,5.1,90.5,42.2,76.5,B,Male,20
STU3151,Aarav Joshi,6.7,70.5,46.5,86.9,A,M,22
STU3152,Ayushi Joshi,3.2,61.8,32.7,67,C,F,-10
STU3153,Aadhya Agarwal,7.3,60.1,42.2,71.9,B,female,22
STU3154,Ishita Chopra,4.8,74,36.7,65.7,C,female,25
STU3155,Navya Mehta,5,69.7,41.6,82.2,B,F,-4
STU3156,Aditya Nair,6.8,,47.2,91.1,A,Male,18
STU3157,Dev Iyer,9.4,67.2,46.6,70.4,B,Male,17
STU3158,Arjun Saxena,1.6,65,30.4,68.9,C,Male,18
STU3159,Shaurya Reddy,8.4,96.6,44.6,,D,Male,21
STU3160,Pooja Singh,3.6,65.6,28.9,50.6,D,female,20
STU3161,Reyansh Saxena,5,81.5,47.1,96.4,A,M,-2
STU3162,Ritika Patel,1.2,83.7,28.5,59,C,F,25
STU3163,Shaurya Das,3.7,81.7,42,88,A,M,24
STU3164,Vivaan Das,5.5,64,42.3,82.9,B,M,22
STU3165,Aryan Singh,1.5,72.8,36.5,87.5,A,Male,17
STU3166,Sai Kapoor,5.4,62.1,45.9,96.2,A,M,18
STU3167,Nikhil Kapoor,9.3,75.8,49.4,77.4,B,Male,22
STU3168,Yash Bansal,1.9,67.5,38.7,93.9,A,Male,18
STU3169,Yash Kumar,7.9,82.5,39.1,50.1,D,M,21
STU3170,Priya Verma,4.7,87.7,41.4,77.6,B,F,21
STU3171,Karthik Nair,6.9,81.3,47.8,86.3,A,M,22
STU3172,Sai Kumar,3.3,77.4,31.2,56.3,C,M,22
STU3173,Kavya Bansal,2.4,75.5,,84.4,B,female,22
STU3174,Vivaan Verma,2.4,93.7,40.2,86.7,A,Male,18
STU3175,Meera Gupta,1.6,68.8,37.1,89.9,A,female,19
STU3176,Meera Sharma,2.7,89.4,32,58.8,C,F,22
STU3177,Aditya Kapoor,7,90.3,47.3,80.9,B,M,24
STU3178,Priya Sharma,8.9,76.8,43,58.3,C,female,17
STU3179,Saanvi Kapoor,8.3,71.9,49.1,84.3,B,female,17
STU3180,Rohan Agarwal,7.2,78.8,42.6,67.8,C,M,18
STU3181,Yash Sharma,2,63.7,33.1,75.9,B,M,22
STU3182,Surya Agarwal,3.6,61.8,32.9,65,C,Male,25
STU3183,Sai Joshi,3.8,64.5,29,49.7,D,Male,20
STU3184,Ritika Patel,3.2,67.5,28.4,50.7,D,female,19
STU3185,Dev Verma,5.6,80.2,32.6,44.7,D,M,24
STU3186,Reyansh Singh,5.8,94,44.1,77.1,B,Male,25
STU3187,Ananya Agarwal,4.2,69.4,42.6,90.9,A,,21
STU3188,Navya Saxena,4.2,97.4,30.5,41.3,D,F,-15
STU3189,Kavya Kapoor,8.5,98.2,40,44,D,female,18
STU3190,Nisha Gupta,,98.4,46.3,67.4,C,female,19
STU3191,Myra Sharma,3.8,93.5,42.2,84.3,B,female,23
STU3192,Rohan Iyer,9.2,74.6,40.7,49.5,D,M,23
STU3193,Anika Singh,9.6,62.9,42.4,56.3,C,F,22
STU3194,Nikhil Gupta,3.9,82.8,32.2,53.9,D,Male,22
STU3195,Priya Chopra,4.2,82.3,35.8,63.9,C,F,-22
STU3196,Ishaan Agarwal,5.6,94,36.6,53.5,D,Male,22
STU3197,Sai Reddy,9.5,99.8,47.3,61.2,C,,20
STU3198,Tanvi Verma,8.9,80.3,50.9,83.7,B,F,19
STU3199,Sara Joshi,1.9,73.8,34.2,76.7,B,female,18
STU3200,Arjun Saxena,4.5,67.4,,44.9,D,M,17
STU3201,Tanvi Sharma,6,60.2,41.5,78.3,B,F,21
STU3202,Aadhya Saxena,5.5,80.4,39.6,68.6,C,female,18
STU3203,Saanvi Saxena,2.7,82.2,42.4,96.1,A,female,18
STU3204,Rohan Mehta,8.7,93,43.9,57.4,C,M,23
STU3205,Rahul Nair,7.1,80.2,47.3,83.6,B,M,-22
STU3206,Sai Verma,8.5,96.7,51.8,83.9,B,,24
STU3207,Reyansh Agarwal,8.7,85.1,41.9,53.3,D,M,20
STU3208,Ananya Chopra,7.7,93.6,53,94.2,A,female,17
STU3209,Ishaan Malhotra,5,,37.4,69.5,C,Male,23
STU3210,Shaurya Joshi,6.5,94.2,46.6,80.7,B,M,17
STU3211,Aarav Kapoor,2.4,87,28.1,,D,Male,20
STU3212,Vihaan Saxena,7.1,66.8,37.5,55.5,C,M,24
STU3213,Meera Chopra,2.6,67.6,34.5,75.2,B,female,18
STU3214,Anika Bansal,7.2,97.1,41.8,59.1,C,female,22
STU3215,Myra Kapoor,3.1,,33.3,70,B,female,22
STU3216,Meera Sharma,2.1,78.5,30.8,62.4,C,female,25
STU3217,Ira Mehta,2.5,72.5,35.8,78.4,B,female,21
STU3218,Shruti Malhotra,1,86.6,31.4,69.2,C,female,20
STU3219,Karthik Sharma,7.5,93.6,36.4,40.3,D,M,21
STU3220,Arjun Saxena,7.6,74.4,46.3,79,B,M,21
STU3221,Rohan Patel,5.6,77.1,38.5,65.3,C,Male,24
STU3222,Shruti Malhotra,2.5,99.3,33.1,60.5,C,F,24
STU3223,Yash Gupta,1.8,91.4,26.4,45.6,D,M,18
STU3224,Ishaan Jain,1.2,95.9,28,53.2,D,M,23
STU3225,Pooja Sharma,2.5,77.6,28.8,53.4,D,F,24
STU3226,Sneha Das,9,69.4,53.8,96.1,A,F,22
STU3227,Aditya Iyer,3.2,76.5,33.8,66,C,Male,21
STU3228,Vihaan Verma,4.2,88.6,30,42.5,D,Male,25
STU3229,Diya Verma,1.9,64.4,24.7,48.3,D,female,19
STU3230,Ishaan Sharma,3,70.8,26.5,44.7,D,Male,20
STU3231,Harsh Sharma,5.7,61.9,40.2,75.3,B,Male,25
STU3232,Shruti Gupta,6.5,77.3,36.1,51.2,D,F,-13
STU3233,Dev Nair,3.2,93.1,36.7,69.9,C,M,24
STU3234,Ritika Jain,1.5,,27.8,62.2,C,female,23
STU3235,Aditya Das,4.5,87,44.2,88.2,A,Male,18
STU3236,Priya Nair,3.1,97.3,33.7,59.2,C,F,19
STU3237,Diya Agarwal,3,69.5,33.2,67.5,C,female,17
STU3238,Diya Sharma,9.6,87.7,53,83.3,B,female,25
STU3239,Ira Malhotra,6.5,99,42.7,66,C,F,-24
STU3240,Rohan Reddy,6,98.5,48.1,87.6,A,Male,17
STU3241,Aditya Iyer,4.7,69.4,40.2,79.7,B,Male,19
STU3242,Aditya Iyer,4.9,64,35.6,,D,Male,20
STU3243,Nikhil Gupta,5.9,65.9,39.4,70.2,B,Male,20
STU3244,Myra Malhotra,7.3,88.1,52.8,98,A,female,21
STU3245,Harsh Jain,7.3,89,47.4,79.7,B,M,19
STU3246,Priya Iyer,2.5,87,42,94.3,A,female,19
STU3247,Nisha Singh,,73.4,33.6,50.7,D,female,17
STU3248,Shruti Iyer,4.7,66.8,36.8,69,C,F,23
STU3249,Tanvi Malhotra,8.8,83.2,54.3,94.5,A,female,17
STU3250,Harsh Chopra,6.7,79.3,39.2,59.4,C,Male,18
STU3251,Tanvi Singh,5.8,89.2,49.9,98.1,A,F,20
STU3252,Priya Kumar,2,77.7,,45.8,D,F,-22
STU3253,Meera Iyer,6.5,73.5,48.6,94.2,A,F,21
STU3254,Tanvi Bansal,2.1,71.7,31.4,66.7,C,F,18
STU3255,Anika Kumar,4,68.5,28.2,44.4,D,F,20
STU3256,Nikhil Patel,2.3,70.6,39.5,92.8,A,Male,17
STU3257,Karthik Kumar,7.2,63.8,37.3,55.1,C,M,18
STU3258,Aarav Kapoor,2.9,73.9,25.6,41.3,D,M,-12
STU3259,Pooja Saxena,4.5,61.5,29.6,48.1,D,F,20
STU3260,Aarav Gupta,9.1,67.5,48.8,79.5,B,M,20
STU3261,Priya Agarwal,2.8,89.9,44.2,98.7,A,female,23
STU3262,Krishna Joshi,5.6,73,32.5,46.7,D,M,25
STU3263,Kavya Iyer,4.8,86.7,38.6,67.7,C,female,25
STU3264,Sai Kapoor,1.2,88.7,26.5,50.8,D,Male,21
STU3265,Nisha Mehta,8.1,83.2,49.9,84.7,B,F,17
STU3266,Tanvi Mehta,1.6,98.3,27.2,47.1,D,female,17
STU3267,Aryan Malhotra,5.3,60.9,33,54.4,D,Male,22
STU3268,Dev Joshi,6,89.5,,51.8,D,Male,18
STU3269,Nisha Singh,6.7,98.4,45.2,73.2,B,F,24
STU3270,Dev Singh,7.2,94.5,51.6,,D,M,25
STU3271,Shaurya Singh,3.3,66.7,34.5,70.7,B,Male,20
STU3272,Reyansh Khanna,1.1,73.1,22.6,43.5,D,M,21
STU3273,Vihaan Agarwal,7.5,66.9,43.8,73.8,B,M,24
STU3274,Surya Sharma,,84.1,46.4,,D,M,19
STU3275,Ritika Kapoor,8.5,88.5,40.2,47.9,D,female,21
STU3276,Shaurya Patel,8.4,72.7,37.4,44.4,D,M,19
STU3277,Krishna Sharma,8.6,81.6,40.8,51.3,D,M,19
STU3278,Reyansh Gupta,5.4,87.6,45,,D,Male,19
STU3279,Ananya Bansal,4,76.9,38.3,75.5,B,F,23
STU3280,Pooja Sharma,8.1,94.2,47.3,72.4,B,female,-23
STU3281,Shaurya Das,5.1,90.9,35.8,55,C,M,23
STU3282,Shruti Singh,2.7,62.6,29.6,59.9,C,F,24
STU3283,Aryan Nair,8.7,84.8,55.3,98,A,M,21
STU3284,Aryan Agarwal,8.9,69.4,41.1,54.4,D,M,21
STU3285,Dev Saxena,5.2,82.3,46.9,94.1,A,Male,20
STU3286,Pooja Gupta,1.7,98.3,35.7,74.8,B,F,23
STU3287,Reyansh Malhotra,4.5,95.2,32.7,47.4,D,Male,20
STU3288,Arjun Saxena,8.2,76.2,44.4,68,C,Male,18
STU3289,Nisha Das,9.1,71.7,54.4,96.9,A,,20
STU3290,Surya Singh,2.8,69.4,32.1,65.1,C,M,24
STU3291,Reyansh Joshi,1.6,81.3,38.9,91.8,A,M,25
STU3292,Anika Kapoor,8.9,64.6,40.9,55.4,C,F,19
STU3293,Ishita Jain,4.5,,39.5,74.3,B,F,23
STU3294,Pooja Jain,5.9,60.1,45,90.6,A,F,25
STU3295,Sneha Joshi,9.7,73,55.3,95.2,A,F,20
STU3296,Rohan Sharma,1.6,68.8,30.8,69.1,C,M,19
STU3297,Yash Saxena,6.8,98.8,47,78.4,B,M,21
STU3298,Sai Nair,1.7,89.1,24.4,40.2,D,Male,17
STU3299,Arjun Mehta,4.4,74,32.8,55.2,C,M,19
STU3300,Ananya Das,8.2,63.7,39.8,56.7,C,F,24
STU3301,Anika Saxena,4.9,80.7,31.6,45.6,D,female,24
STU3302,Aditya Gupta,10,68.5,43.9,56.8,C,M,20
STU3303,Tanvi Malhotra,6,81.5,37.9,59.3,C,F,18
STU3304,Vivaan Das,3.9,93.4,46.6,98.1,A,Male,24
STU3305,Harsh Chopra,3,84.6,,80.1,B,M,24
STU3306,Nisha Singh,4.2,85.4,36.6,65.6,C,female,-19
STU3307,Sara Reddy,4.4,81.6,46.8,99.3,A,F,19
STU3308,Karthik Verma,1.6,97.1,27.7,49.2,D,M,18
STU3309,Saanvi Joshi,4.3,97.3,38.9,68.6,C,F,25
STU3310,Ishita Iyer,5.2,80.5,42.1,78.8,B,female,-4
STU3311,Anika Jain,7.5,72.2,35.2,43.3,D,female,23
STU3312,Karthik Malhotra,6.9,78.4,46.5,83,B,Male,21
STU3313,Sneha Bansal,7.4,67.5,35.4,46,D,female,-24
STU3314,Harsh Joshi,1.1,85.5,25.3,48.4,D,M,20
STU3315,Ira Bansal,3,80,28.9,49.6,D,female,-4
STU3316,Ishaan Verma,7,64.1,49.1,95.7,A,M,21
STU3317,Arjun Sharma,5.4,67.9,41.9,81,B,M,21
STU3318,Diya Saxena,1,79.2,33.7,79.3,B,F,-16
STU3319,Yash Saxena,,95.5,47.9,73.3,B,M,25
STU3320,Sai Mehta,8,82.7,41.6,57.6,C,M,25
STU3321,Rahul Patel,5.9,87.3,,77.3,B,Male,22
STU3322,Meera Mehta,1.6,73.6,29.9,64.6,C,F,22
STU3323,Krishna Kapoor,7.9,82.9,38.7,48.7,D,M,21
STU3324,Dev Agarwal,6.3,77.9,44.8,81.4,B,Male,25
STU3325,Ira Iyer,8,,39,47.8,D,F,24
STU3326,Aadhya Malhotra,7.8,62,37.2,51.4,D,female,23
STU3327,Karthik Kapoor,8.2,79.7,51.1,89.1,A,M,23
STU3328,Myra Gupta,5.7,71.8,42.5,79.6,B,female,22
STU3329,Meera Joshi,2.3,73,35.3,77.9,B,F,21
STU3330,Navya Bansal,7,98.4,43.4,65.1,C,F,20
STU3331,Krishna Gupta,6.6,67.3,39.1,63.8,C,Male,19
STU3332,Reyansh Das,7.7,72.4,47.1,81.4,B,M,19
STU3333,Karthik Verma,2.5,80.4,38.4,84.4,B,M,22
STU3334,Shaurya Sharma,2.8,94.5,36.2,70.6,B,Male,20
STU3335,Kavya Jain,9,76.7,55.1,98.2,A,female,-13
STU3336,Ishita Iyer,7.7,89.8,53.6,97.3,A,F,19
STU3337,Vihaan Jain,9.2,94.3,47.2,64.7,C,Male,20
STU3338,Ira Kapoor,7.8,72.4,49.6,89.2,A,F,-13
STU3339,Nisha Mehta,6.4,75.7,42.2,72.6,B,female,21
STU3340,Ishita Singh,6.9,74.3,42.4,70.7,B,female,23
STU3341,Myra Chopra,9,93.3,40.3,43.3,D,female,18
STU3342,Karthik Joshi,6.2,61.8,40.9,74.4,B,M,21
STU3343,Shruti Agarwal,6.7,72.3,48.8,94,A,F,25
STU3344,Ananya Patel,2.4,87.2,,86.8,A,F,19
STU3345,Rohan Jain,5.3,82.6,45,87.2,A,Male,25
STU3346,Diya Joshi,7.4,77.5,37.4,49.6,D,F,22
STU3347,Sai Jain,3.4,81.6,33.4,61.5,C,M,20
STU3348,Arjun Agarwal,2.8,67.9,28.6,54,D,Male,23
STU3349,Myra Nair,3.8,77.2,33,59,C,female,24
STU3350,Shruti Reddy,3.2,80.1,36.8,74.8,B,F,22
STU3351,Sai Malhotra,2.9,96,34,61.9,C,M,-9
STU3352,Aditya Jain,4.8,70.4,38.7,73.6,B,M,22
STU3353,Navya Bansal,9.2,94.7,47.8,66.3,C,F,21
STU3354,Shaurya Patel,5.6,85.8,36.9,57.2,C,M,24
STU3355,Myra Mehta,2.7,60.8,25.2,45.7,D,female,17
STU3356,Shruti Reddy,1.7,89,40.4,93.5,A,F,-25
