Student_ID,Student_Name,Study_Hours,Attendance_Percentage,Internal_Assessment_Score,Previous_Academic_Result,Final_Grade,Gender,Age,Study_Efficiency,Sleep_Hours,Internet_Usage_Hours
STU1484,Nikhil Jain,1.1,83.1,,83.1,,Male,25,0.54,4.3,5.6
STU1485,Shaurya Saxena,3.9,66.6,42.6,93.7,A,M,-9,0.78,6.7,4.5
STU1486,Ayushi Nair,4.3,76.1,45.1,96.2,A,F,22,0.83,4.2,2.5
STU1487,Nikhil Patel,4.6,73.7,,,B,M,23,0.63,4.1,5.5
STU1488,Ayushi Nair,7.3,76.0,35.2,43.2,D,F,25,0.91,9.3,4.7
STU1489,Shruti Sharma,4.5,90.4,43.4,84.5,,,19,0.83,4.4,1.2
STU1490,Tanvi Mehta,5.0,79.3,,46.6,,F,unknown,0.81,7.9,6.2
STU1491,Ishita Saxena,3.1,97.6,40.0,80.2,,female,23,0.88,5.3,1.0
STU1492,Vihaan Gupta,4.4,,42.0,86.8,A,Male,,0.98,8.9,3.7
STU1493,Tanvi Jain,3.0,76.6,,83.6,B,,24,0.77,,7.5
STU1494,Vivaan Saxena,1.7,91.5,41.7,,A,Male,23,0.74,7.0,2.7
STU1495,Karthik Verma,6.4,81.8,46.3,84.3,B,M,-12,0.75,6.2,3.3
STU1496,Pooja Joshi,7.0,81.9,46.7,,B,F,23,0.56,5.6,7.2
STU1497,Krishna Sharma,6.6,62.1,36.1,55.7,C,M,19,0.65,5.3,7.1
STU1498,Aditya Malhotra,5.2,75.9,46.6,,D,Male,18,0.96,7.1,5.3
STU1499,Rahul Singh,,70.8,31.1,50.8,,Male,-23,0.74,4.3,5.3
STU1500,Manav Bansal,,100.0,55.9,94.3,A,M,18,,8.4,
STU1501,Yash Reddy,5.7,,36.3,58.8,,Male,19,,6.2,2.0
STU1502,Surya Jain,5.3,95.4,34.5,47.8,D,M,-8,0.64,9.2,5.4
STU1503,Rahul Joshi,1.2,87.0,38.0,89.6,A,Male,21,0.65,6.5,2.0
STU1504,Pooja Verma,4.1,73.6,27.6,,D,female,24,0.79,7.7,2.4
STU1505,Shaurya Kapoor,4.4,,,89.9,A,M,25,0.81,8.6,1.0
STU1506,Sara Gupta,4.6,,35.3,55.7,C,F,19,0.86,8.6,1.7
STU1507,Myra Nair,6.2,95.3,49.9,93.1,A,F,19,0.85,5.0,3.8
STU1508,Tanvi Agarwal,5.8,,42.7,,B,F,19,0.54,4.5,6.3
STU1509,Yash Gupta,6.5,,44.4,80.0,B,Male,-15,0.72,,1.4
STU1510,Karthik Iyer,7.9,73.4,41.7,,C,M,,0.91,78.37258613,4.6
STU1511,Ishaan Jain,8.3,61.7,,43.6,D,Male,,0.75,4.5,5.0
STU1512,Tanvi Malhotra,7.5,83.9,50.3,89.8,A,F,17,0.84,6.4,4.1
STU1513,Meera Bansal,9.6,94.2,43.7,,D,female,-21,0.71,4.8,2.0
STU1514,Nisha Das,,75.3,28.6,62.3,C,F,,0.63,,5.2
STU1515,Sara Jain,2.8,89.6,37.4,76.0,B,F,unknown,0.63,7.5,
STU1516,Navya Kumar,1.1,85.1,31.4,,C,F,21,0.65,4.3,
STU1517,Shruti Kumar,6.8,75.0,36.7,51.9,,female,-9,0.6,4.3,
STU1518,Diya Singh,9.1,65.6,39.3,48.4,D,,20,0.9,9.1,2.7
STU1519,Nikhil Kapoor,3.2,,29.5,47.4,D,M,24,0.78,7.4,2.0
STU1520,Ayushi Chopra,9.3,94.2,55.6,91.8,A,female,18,0.87,6.1,7.2
STU1521,Ishaan Kumar,1.5,87.4,24.3,41.9,,M,17,0.8,9.3,3.9
STU1522,Myra Kapoor,9.4,60.7,54.4,98.6,,female,19,0.82,7.1,3.6
STU1523,Yash Das,4.2,68.6,30.8,51.9,D,M,25,9.118923786,7.7,5.5
STU1524,Ritika Verma,1.9,,24.1,46.6,D,F,unknown,0.83,6.2,7.6
STU1525,Ayushi Khanna,62.92438761,,41.5,,D,female,21,0.73,,1.9
STU1526,Yash Patel,3.3,90.3,29.1,44.8,D,Male,18,0.73,4.8,45.72516428
STU1527,Navya Chopra,3.6,64.4,36.5,,B,,-19,0.89,6.3,1.8
STU1528,Rohan Jain,3.8,93.5,,91.0,A,M,18,0.95,7.2,
STU1529,Anika Saxena,8.2,82.2,37.5,42.9,D,female,18,,8.6,4.3
STU1530,Aadhya Sharma,5.9,87.6,47.0,88.0,A,female,20,0.52,4.1,3.0
STU1531,Karthik Reddy,,98.9,36.6,,C,Male,-20,,8.2,6.9
STU1532,Ayushi Joshi,6.5,63.3,34.2,49.6,D,female,23,,8.3,6.3
STU1533,Sneha Gupta,7.4,96.0,39.6,50.6,,,19,0.97,4.1,
STU1534,Karthik Singh,3.5,65.0,42.0,,A,M,,0.95,6.7,6.1
STU1535,Kavya Singh,,75.7,,,,F,22,0.51,,
STU1536,Meera Saxena,2.1,94.1,41.2,92.0,A,,19,0.98,,6.9
STU1537,Sneha Sharma,2.6,96.3,36.6,72.7,B,F,18,0.77,5.7,6.9
STU1538,Ananya Chopra,7.1,80.3,,42.3,,female,,0.84,6.5,1.5
STU1539,Shruti Das,2.6,83.8,34.0,67.9,C,female,-7,,5.0,4.7
STU1540,Rahul Malhotra,5.7,88.3,,89.0,A,,17,0.5,4.5,54.955615
STU1541,Anika Nair,7.4,93.3,49.2,83.6,B,F,19,8.380477014,5.8,7.0
STU1542,Pooja Iyer,2.0,,31.3,,C,F,24,0.62,7.7,7.7
STU1543,Dev Mehta,6.1,,48.9,91.6,A,,20,0.61,,
STU1544,Diya Reddy,3.3,866.246615,,47.2,D,F,23,,6.1,3.4
STU1545,Shaurya Sharma,9.7,78.0,,94.6,A,M,18,0.55,8.6,4.3
STU1546,Vihaan Patel,5.4,77.0,45.7,,,M,23,0.97,8.2,6.1
STU1547,Myra Agarwal,8.3,80.4,49.4,82.5,B,female,,0.56,6.5,6.3
STU1548,Ishita Saxena,6.0,97.8,48.5,89.1,A,female,21,0.53,8.4,3.0
STU1549,Aadhya Jain,1.4,81.9,32.8,72.6,B,female,22,0.75,5.2,
STU1550,Rohan Kapoor,,,47.4,80.5,B,M,,0.63,74.90077686,7.4
STU1551,Ishita Iyer,9.6,,48.0,73.6,B,female,-16,0.9,5.2,1.4
STU1552,Nikhil Kumar,6.4,89.0,40.1,,,Male,24,0.56,6.1,3.3
STU1553,Aarav Mehta,,92.5,426.197461,74.1,B,Male,unknown,0.75,5.4,52.0190907
STU1554,Sara Chopra,9.0,87.2,,55.4,C,,25,0.97,4.4,4.2
STU1555,Nikhil Singh,,,34.6,66.4,C,M,20,0.68,4.5,2.8
STU1556,Nikhil Singh,2.9,82.6,31.1,56.8,C,,18,,5.5,6.1
STU1557,Ananya Malhotra,6.5,94.4,36.7,47.4,D,female,23,0.81,5.9,7.5
STU1558,Harsh Patel,4.7,92.9,36.5,59.3,,Male,22,0.75,9.3,3.3
STU1559,Vivaan Saxena,8.6,64.9,51.0,,A,Male,-22,0.5,4.7,2.5
STU1560,Vihaan Patel,9.1,,46.5,62.9,,,25,0.82,4.6,1.9
STU1561,Nisha Gupta,4.2,76.6,41.5,84.9,B,F,25,8.759223504,6.2,
STU1562,Sai Gupta,3.1,70.1,28.4,,D,,18,0.84,6.8,2.9
STU1563,Aadhya Chopra,8.0,94.8,45.1,,,,-18,0.8,9.2,2.9
STU1564,Vihaan Agarwal,3.5,77.3,,,,Male,,0.56,9.7,
STU1565,Saanvi Mehta,,92.3,40.5,48.3,D,female,21,0.74,4.3,7.4
STU1566,Aryan Kapoor,4.8,70.5,39.8,77.0,B,Male,17,0.73,9.2,7.0
STU1567,Surya Patel,7.0,60.2,42.9,76.4,B,Male,24,0.81,5.1,6.2
STU1568,Myra Kapoor,1.9,79.8,,52.8,D,F,24,0.91,,47.28503732
STU1569,Reyansh Nair,6.6,64.0,,68.5,C,,-5,0.66,6.7,3.7
STU1570,Ira Gupta,5.1,90.2,,91.8,,female,-16,0.94,8.7,5.0
STU1571,Aadhya Joshi,,71.0,,50.5,D,F,19,0.52,5.0,6.6
STU1572,Ishita Agarwal,2.5,77.7,,41.2,D,,22,0.81,,4.9
STU1573,Rohan Malhotra,7.6,63.5,45.3,79.1,B,Male,25,0.75,4.3,5.9
STU1574,Yash Sharma,8.8,71.5,,43.2,D,Male,,0.81,9.4,4.4
STU1575,Harsh Iyer,3.0,91.3,44.8,98.8,A,M,21,,4.9,5.5
STU1576,Ishaan Agarwal,1.9,807.1349357,33.4,76.6,B,Male,-9,0.79,7.7,7.6
STU1577,Harsh Gupta,1.2,85.9,31.4,68.2,C,,24,0.69,5.8,46.78918474
STU1578,Diya Kapoor,6.8,96.7,43.0,65.8,C,female,17,0.88,8.0,3.8
STU1579,Aarav Kumar,6.5,87.2,,74.4,B,Male,,0.94,8.8,
STU1580,Vivaan Agarwal,5.9,,34.7,45.4,D,,22,8.713606156,8.5,4.2
STU1581,Aarav Kapoor,3.1,64.4,41.4,95.8,A,,,0.55,,3.7
STU1582,Sai Jain,4.5,70.0,,,B,,25,0.8,8.9,5.9
STU1583,Priya Singh,6.4,,37.7,51.0,D,F,21,,,7.6
STU1584,Navya Reddy,5.5,88.6,42.0,73.8,B,,,0.66,4.4,1.5
STU1585,Manav Singh,9.9,,42.8,48.0,D,Male,21,,6.4,3.0
STU1586,Ananya Kapoor,,86.6,,41.1,D,female,17,0.53,7.8,7.8
STU1587,Tanvi Khanna,7.3,76.6,45.6,77.8,B,F,17,0.63,8.9,1.2
STU1588,Ayushi Reddy,4.6,61.8,39.1,78.9,B,F,24,0.9,8.2,1.7
STU1589,Diya Khanna,4.9,91.4,,75.0,B,F,24,0.81,8.0,1.9
STU1590,Rohan Iyer,7.5,87.1,39.0,51.0,D,M,22,,5.8,7.4
STU1591,Aryan Verma,7.2,78.9,,76.2,B,Male,20,0.73,6.7,3.1
STU1592,Yash Singh,9.9,96.0,42.4,43.4,D,M,18,0.64,,5.1
STU1593,Myra Khanna,2.2,73.4,34.7,835.4183117,B,female,18,0.95,9.7,7.4
STU1594,Shaurya Kumar,1.9,71.8,32.9,73.2,B,M,-15,0.75,7.9,1.3
STU1595,Rahul Malhotra,7.5,94.9,48.3,79.3,,,21,,4.3,
STU1596,Rohan Das,,91.9,,93.7,A,M,20,0.54,8.7,6.0
STU1597,Nisha Verma,3.5,80.6,42.4,91.0,A,female,-16,8.514385721,4.6,1.6
STU1598,Rohan Mehta,1.7,65.2,,98.8,A,Male,185.7656626,,,3.6
STU1599,Ishaan Bansal,1.8,68.6,40.0,98.6,A,Male,19,0.52,5.0,7.3
STU1600,Aryan Malhotra,9.0,86.2,52.5,,A,Male,-8,0.85,,1.4
STU1601,Manav Agarwal,,75.4,42.2,97.4,A,,21,,4.2,1.6
STU1602,Aadhya Gupta,3.9,93.5,44.8,92.0,,female,,0.88,7.2,7.1
STU1603,Vivaan Jain,3.0,98.0,40.9,83.7,B,,21,0.86,8.9,6.1
STU1604,Ira Singh,4.2,,31.0,44.5,D,female,unknown,0.68,9.1,7.1
STU1605,Meera Malhotra,,,23.6,42.9,D,female,17,,6.8,7.9
STU1606,Sai Iyer,,91.5,,90.3,A,,19,0.54,9.4,6.4
STU1607,Dev Das,1.6,,31.4,,C,,-16,8.631502442,7.8,5.9
STU1608,Aarav Sharma,8.2,,49.7,88.9,A,Male,21,0.85,5.6,1.1
STU1609,Myra Saxena,3.1,61.3,30.0,58.8,C,F,-6,0.83,5.0,
STU1610,Saanvi Jain,5.9,75.4,,63.9,C,F,unknown,0.95,4.7,4.4
STU1611,Yash Khanna,8.9,952.5468982,,82.0,,,18,0.53,9.3,
STU1612,Kavya Mehta,6.9,,49.2,94.9,A,female,25,0.98,,1.5
STU1613,Harsh Malhotra,,68.3,32.0,45.3,D,M,18,0.79,9.2,
STU1614,Rahul Gupta,3.9,98.8,45.2,91.7,A,Male,25,0.78,4.0,7.1
STU1615,Yash Kumar,4.0,61.0,40.4,87.6,A,Male,,,9.6,4.2
STU1616,Ananya Bansal,7.0,,40.8,58.9,,female,24,0.81,77.15147635,1.5
STU1617,Manav Joshi,9.9,72.9,45.5,61.3,C,M,18,0.85,6.1,3.3
STU1618,Saanvi Kumar,7.0,61.5,33.0,42.8,D,F,-3,,,1.9
STU1619,Shruti Chopra,6.0,96.7,33.9,40.9,D,F,-25,0.5,7.1,7.6
STU1620,Aryan Patel,7.6,65.6,42.3,68.6,C,Male,,0.68,4.2,3.8
STU1621,Manav Nair,,82.1,32.3,45.7,D,Male,,0.76,8.9,4.9
STU1622,Shaurya Jain,1.5,71.0,,51.6,D,Male,20,,8.5,7.9
STU1623,Rahul Khanna,6.1,,45.7,90.8,A,Male,18,0.97,7.4,6.7
STU1624,Aditya Kapoor,9.6,62.0,47.7,,,Male,-16,0.56,7.5,4.7
STU1625,Kavya Chopra,2.6,,,78.0,,F,24,0.81,79.37930101,5.4
STU1626,Reyansh Malhotra,7.2,62.9,36.0,51.2,D,Male,,0.8,7.2,2.8
STU1627,Rohan Joshi,2.8,90.4,41.6,89.7,A,M,21,0.65,9.1,7.4
STU1628,Pooja Gupta,5.8,79.4,47.2,92.1,A,female,17,8.093467028,5.1,7.6
STU1629,Ritika Patel,1.9,73.7,32.6,71.4,B,F,23,0.67,4.3,4.8
STU1630,Meera Kapoor,5.1,76.7,46.3,94.8,A,female,24,,,
STU1631,Ishita Kapoor,7.8,97.2,52.5,90.7,,female,22,0.6,6.9,7.8
STU1632,Yash Jain,4.1,,,,B,,-22,0.81,5.6,3.4
STU1633,Navya Reddy,,88.6,48.1,84.0,B,,22,,7.2,
STU1634,Sai Singh,8.2,95.4,39.8,46.3,D,M,18,0.9,,2.7
STU1635,Shaurya Nair,9.3,72.8,42.8,,C,Male,17,0.72,5.2,7.0
STU1636,Meera Bansal,3.1,75.2,,44.0,,F,23,,6.4,2.3
STU1637,Surya Khanna,4.6,84.5,29.8,40.5,D,M,23,0.96,8.1,6.7
STU1638,Meera Saxena,2.4,84.9,28.1,49.5,D,F,18,0.62,9.1,1.6
STU1639,Manav Joshi,9.9,79.3,55.6,92.8,A,Male,,0.87,10.0,2.9
STU1640,Dev Verma,9.3,76.0,42.5,54.4,D,Male,,0.85,4.2,
STU1641,Nisha Jain,5.9,,51.2,98.2,,F,,0.91,4.0,6.7
STU1642,Sneha Nair,8.6,92.8,49.2,75.8,B,female,24,,7.5,2.6
STU1643,Anika Kapoor,5.7,77.4,35.4,54.2,,,,,,2.1
STU1644,Vihaan Bansal,6.6,89.1,43.0,69.8,C,M,24,0.95,5.6,3.4
STU1645,Pooja Bansal,1.8,70.8,26.6,53.1,,,25,0.9,7.2,1.2
STU1646,Nikhil Gupta,7.8,64.0,51.7,99.0,A,Male,20,0.83,5.7,6.6
STU1647,Surya Singh,2.1,74.1,38.8,90.8,A,,17,0.72,4.8,6.5
STU1648,Nikhil Das,8.4,76.1,36.9,41.6,D,M,unknown,0.87,9.9,7.5
STU1649,Karthik Bansal,8.0,60.7,51.1,96.9,A,Male,19,0.99,5.4,4.9
STU1650,Ishita Agarwal,,92.6,49.0,83.3,B,female,,0.88,73.41018606,1.7
STU1651,Nikhil Bansal,,74.4,23.5,,D,,-15,0.94,7.9,2.7
STU1652,Sai Gupta,3.7,83.2,39.8,,,M,,0.99,9.3,
STU1653,Harsh Malhotra,3.4,63.0,36.7,78.8,B,M,18,0.72,,2.8
STU1654,Vihaan Malhotra,4.2,67.0,31.0,53.1,D,M,18,,7.6,3.0
STU1655,Dev Singh,1.8,810.597377,38.8,85.5,,Male,22,,5.9,7.7
STU1656,Ananya Malhotra,9.4,84.3,40.8,45.2,,F,-24,0.92,,6.0
STU1657,Reyansh Joshi,6.0,98.0,42.6,,C,M,17,0.97,8.8,7.0
STU1658,Harsh Das,3.7,,29.6,,D,M,unknown,0.77,8.1,
STU1659,Ayushi Nair,4.6,74.9,46.1,98.1,A,female,181.8477732,,77.39166763,3.6
STU1660,Kavya Iyer,,72.0,42.7,85.1,A,,,0.64,,45.965578
STU1661,Nisha Verma,6.4,94.3,37.1,49.5,D,female,,0.68,79.97147196,6.3
STU1662,Vihaan Singh,5.6,99.9,39.3,,C,M,25,8.871021881,,5.1
STU1663,Aadhya Kapoor,9.3,85.2,42.0,,D,F,20,0.85,8.9,
STU1664,Diya Jain,5.5,91.8,46.0,86.0,A,,18,0.5,4.2,2.3
STU1665,Arjun Malhotra,9.9,91.3,42.0,,,Male,22,,8.3,3.5
STU1666,Saanvi Agarwal,8.7,74.2,51.9,90.4,A,female,20,0.81,,4.8
STU1667,Ira Mehta,57.22399304,83.0,,96.5,A,F,unknown,0.53,80.0583954,1.9
STU1668,Ritika Chopra,,93.3,52.3,80.6,B,female,19,0.61,9.8,5.4
STU1669,Ishita Nair,2.0,87.5,28.6,52.8,D,F,,0.72,8.6,5.6
STU1670,Ishita Nair,8.4,60.8,41.4,61.6,C,F,18,0.66,6.4,8.0
STU1671,Kavya Malhotra,4.4,73.5,36.7,68.6,C,female,,0.57,9.1,
STU1672,Ira Saxena,8.9,65.8,481.9093718,76.3,B,,25,,,5.6
STU1673,Vihaan Sharma,8.8,69.3,48.6,80.1,B,Male,-24,0.92,9.3,2.8
STU1674,Ira Das,8.3,96.2,48.2,73.3,,female,19,0.55,8.8,3.0
STU1675,Ira Reddy,,61.5,40.7,61.1,C,F,17,0.6,6.7,5.2
STU1676,Nikhil Kumar,3.7,68.8,42.3,93.5,A,M,24,0.58,6.6,3.6
STU1677,Saanvi Iyer,1.7,72.4,24.1,,D,,22,0.97,6.1,5.6
STU1678,Saanvi Gupta,57.47718772,84.7,38.1,68.0,C,female,23,0.91,5.7,6.5
STU1679,Kavya Bansal,2.6,81.4,39.3,86.5,A,F,25,0.82,7.6,2.7
STU1680,Harsh Bansal,7.3,68.7,34.6,43.7,D,M,21,,7.6,7.0
STU1681,Arjun Malhotra,4.1,66.6,39.6,82.3,B,Male,17,0.51,7.4,2.7
STU1682,Rahul Singh,,69.5,53.3,89.2,A,M,23,0.86,5.8,1.4
STU1683,Sneha Iyer,,80.1,45.5,79.6,B,F,-19,0.87,8.4,2.9
STU1684,Saanvi Nair,8.4,70.8,36.1,40.8,D,F,-1,0.98,5.4,
STU1685,Aadhya Agarwal,2.2,97.9,29.4,,,F,,0.54,5.1,
STU1686,Anika Saxena,,78.6,43.6,60.5,C,F,17,0.89,,3.0
STU1687,Vihaan Bansal,9.3,948.3754501,41.0,54.0,,M,17,0.9,8.4,3.3
STU1688,Karthik Saxena,,89.2,49.1,97.8,A,M,17,0.57,5.0,
STU1689,Harsh Nair,6.5,73.2,44.0,79.1,B,M,19,,7.6,7.0
STU1690,Pooja Kapoor,7.9,86.1,41.8,57.8,C,female,22,0.76,6.1,3.9
STU1691,Myra Kapoor,2.6,,41.1,95.8,A,F,,0.74,6.3,3.9
STU1692,Diya Gupta,5.5,82.8,44.6,84.4,B,female,-18,0.71,6.0,5.6
STU1693,Navya Kumar,4.6,90.9,35.4,866.87213,,female,-18,0.96,5.2,4.8
STU1694,Pooja Malhotra,58.72951243,97.1,33.1,62.7,,female,,0.84,9.6,4.1
STU1695,Sai Iyer,4.3,,31.2,,D,Male,19,0.91,8.0,6.0
STU1696,Ritika Gupta,62.17971356,73.4,40.0,98.3,A,female,21,0.7,8.2,
STU1697,Anika Gupta,,78.6,31.6,71.0,B,F,24,0.84,5.9,5.7
STU1698,Ishita Jain,2.2,,42.2,93.8,A,female,18,0.95,9.6,5.3
STU1699,Priya Agarwal,9.7,968.1867404,47.2,60.8,C,,22,0.98,8.7,2.8
STU1700,Rohan Khanna,5.9,63.6,45.7,91.7,A,,,0.56,9.8,5.8
STU1701,Yash Reddy,9.7,65.3,,43.2,D,,-5,0.66,10.0,5.7
STU1702,Ananya Joshi,4.9,79.8,47.4,,A,F,21,0.97,4.5,5.6
STU1703,Saanvi Saxena,3.8,64.3,429.8369258,94.7,A,female,-3,0.65,9.3,
STU1704,Sneha Joshi,5.6,73.8,37.1,61.8,C,F,21,0.88,9.7,3.5
STU1705,Ira Saxena,5.0,65.9,42.5,86.5,A,female,20,0.89,4.6,5.5
STU1706,Dev Kapoor,2.0,85.4,38.1,85.1,A,M,-8,0.56,8.1,6.3
STU1707,Meera Saxena,6.8,98.0,51.6,94.1,A,F,22,0.54,4.8,2.3
STU1708,Ayushi Gupta,2.9,99.9,33.3,58.4,,female,18,0.54,9.3,4.9
STU1709,Navya Gupta,,75.0,41.1,67.9,C,F,21,9.186741159,7.9,4.5
STU1710,Aditya Nair,6.9,,49.8,91.9,A,M,23,0.7,7.1,7.9
STU1711,Vivaan Iyer,2.4,,40.2,86.7,A,M,23,0.96,8.4,1.4
STU1712,Krishna Malhotra,1.6,,28.8,63.6,C,M,21,0.87,,1.5
STU1713,Meera Sharma,8.0,,52.0,90.7,,F,25,0.93,10.0,5.7
STU1714,Anika Sharma,5.1,76.4,30.7,42.8,D,F,-1,0.53,4.4,6.6
STU1715,Myra Mehta,1.5,68.2,35.9,86.9,A,female,19,,4.1,
STU1716,Vihaan Malhotra,10.0,76.1,43.3,52.4,D,M,20,0.81,6.9,7.6
STU1717,Tanvi Reddy,1.5,,26.5,57.2,C,female,21,0.72,9.1,6.5
STU1718,Ishita Jain,7.3,87.8,44.3,69.6,C,F,22,0.67,9.1,7.1
STU1719,Rahul Malhotra,9.9,70.1,46.9,67.0,C,,19,0.86,,
STU1720,Vihaan Verma,3.2,,35.0,71.2,B,M,18,0.58,7.4,5.0
STU1721,Ishita Malhotra,2.3,64.8,32.9,72.7,B,female,20,0.94,9.8,7.0
STU1722,Manav Chopra,2.1,,31.6,59.9,C,,21,0.8,8.8,4.1
STU1723,Ira Verma,3.7,79.7,30.5,,D,female,20,0.95,,2.9
STU1724,Krishna Bansal,1.9,82.9,37.9,86.1,A,,19,0.94,6.3,7.3
STU1725,Arjun Mehta,7.2,,41.9,705.524536,C,Male,24,,6.7,5.9
STU1726,Ananya Kumar,1.6,76.4,32.0,70.4,B,,unknown,0.69,,2.9
STU1727,Reyansh Singh,5.6,67.7,467.0223031,78.7,B,M,,0.52,9.5,4.8
STU1728,Priya Singh,10.0,89.8,57.4,94.6,A,,unknown,0.73,4.2,4.1
STU1729,Ananya Iyer,8.3,65.1,47.9,82.5,B,female,,0.9,,7.8
STU1730,Aadhya Jain,6.5,64.2,32.2,,D,,20,,,7.4
STU1731,Sai Agarwal,3.8,88.4,43.5,90.3,A,Male,-5,0.79,5.8,4.6
STU1732,Ishita Patel,6.6,68.4,49.9,99.4,,,-7,0.99,6.3,7.2
STU1733,Aadhya Gupta,,,39.1,68.3,,female,-18,0.53,10.0,48.33872075
STU1734,Sneha Joshi,,79.0,,98.2,A,female,23,0.82,8.2,2.8
STU1735,Aryan Joshi,2.2,78.0,34.0,72.8,B,Male,24,0.95,9.5,7.7
STU1736,Yash Sharma,9.0,88.3,47.1,67.6,C,M,17,,9.3,1.4
STU1737,Krishna Chopra,5.0,84.9,36.5,758.893353,C,Male,,0.63,6.2,4.1
STU1738,Karthik Chopra,2.8,85.8,38.0,79.5,B,M,20,0.78,,7.8
STU1739,Tanvi Chopra,4.3,88.6,33.6,,D,,20,0.95,9.8,2.3
STU1740,Saanvi Khanna,4.7,71.7,30.5,46.3,D,F,20,0.97,6.7,4.7
STU1741,Navya Patel,8.4,72.9,36.6,,D,,,0.59,5.7,2.5
STU1742,Vihaan Saxena,7.6,77.5,40.2,,C,Male,23,0.56,8.1,
STU1743,Sai Malhotra,,72.3,,63.7,C,Male,22,0.55,9.6,4.0
STU1744,Anika Reddy,1.1,99.4,34.1,,B,F,17,0.71,6.4,5.9
STU1745,Krishna Khanna,4.7,,,57.6,C,Male,24,0.67,4.3,5.1
STU1746,Ayushi Patel,5.3,66.6,47.0,,A,,,0.71,72.26822328,1.6
STU1747,Shruti Das,1.2,60.2,25.7,57.5,C,F,22,0.99,,
STU1748,Yash Nair,3.3,61.7,32.7,66.5,C,M,unknown,0.82,5.5,5.3
STU1749,Yash Mehta,7.8,,36.4,46.2,,Male,21,0.76,5.5,2.4
STU1750,Ishaan Sharma,2.2,64.6,27.5,55.6,C,,22,0.92,6.6,2.4
STU1751,Navya Kumar,5.8,81.3,32.6,42.9,D,F,197.6825235,0.9,8.7,5.2
STU1752,Shaurya Sharma,2.9,94.3,37.3,73.6,B,Male,25,0.93,7.2,51.04347419
STU1753,Myra Patel,1.1,89.5,36.7,,A,F,24,0.87,7.8,
STU1754,Aryan Verma,3.2,68.6,28.8,,D,Male,25,0.86,8.5,5.7
STU1755,Rohan Jain,9.8,76.0,45.8,,C,Male,,,4.1,
STU1756,Aryan Chopra,8.2,80.3,36.7,,,Male,24,0.77,,3.7
STU1757,Meera Sharma,9.6,92.4,,90.4,,F,17,,6.1,1.7
STU1758,Tanvi Agarwal,5.4,929.1312352,,86.8,A,F,21,0.76,6.9,7.6
STU1759,Priya Joshi,,96.4,,43.8,D,female,-12,0.8,,5.6
STU1760,Ayushi Nair,,80.4,38.4,,C,female,18,0.76,,5.0
STU1761,Nisha Patel,5.1,827.2764272,48.2,97.3,A,F,unknown,0.71,9.6,5.8
STU1762,Aadhya Das,8.6,64.5,,63.5,C,F,19,0.57,6.6,
STU1763,Yash Sharma,1.9,82.6,,71.6,B,Male,20,0.98,5.0,5.9
STU1764,Pooja Iyer,5.4,69.9,36.2,61.3,C,female,23,0.89,6.6,2.6
STU1765,Saanvi Gupta,2.4,,,75.8,B,female,25,0.5,4.7,7.8
STU1766,Diya Patel,,85.4,45.9,,A,F,,0.78,5.9,7.0
STU1767,Anika Das,7.6,70.3,52.2,99.9,A,female,201.0432781,8.01656791,4.4,4.5
STU1768,Myra Nair,5.3,,42.8,,A,,20,0.61,9.5,46.39710869
STU1769,Myra Kapoor,4.4,,34.1,64.3,C,female,-13,0.65,6.2,4.9
STU1770,Sai Patel,4.6,60.9,36.2,69.7,C,M,23,0.82,8.4,
STU1771,Krishna Mehta,5.1,60.3,34.6,,C,M,18,0.83,9.8,3.3
STU1772,Nisha Mehta,,64.4,52.4,99.1,A,female,21,0.67,5.2,6.2
STU1773,Meera Verma,,69.6,49.7,,D,F,-15,0.6,9.6,3.4
STU1774,Reyansh Das,9.6,,,,C,M,19,,5.5,6.0
STU1775,Reyansh Gupta,8.1,99.5,,40.7,D,Male,unknown,0.7,5.1,5.9
STU1776,Tanvi Verma,3.8,72.2,,71.2,B,F,,0.69,9.5,7.7
STU1777,Karthik Kapoor,54.96955083,65.1,50.6,99.0,A,M,23,0.78,6.4,4.8
STU1778,Vivaan Sharma,4.9,,39.4,71.4,B,Male,21,0.78,6.2,52.07493097
STU1779,Aarav Singh,3.3,,31.3,50.9,D,M,17,0.87,7.3,7.0
STU1780,Sai Gupta,8.6,87.1,38.3,,D,M,22,0.6,,1.2
STU1781,Sai Patel,,,28.2,61.3,C,Male,,8.119153109,8.0,3.2
STU1782,Rahul Das,9.1,82.5,55.0,95.1,A,Male,19,0.89,9.9,6.3
STU1783,Pooja Reddy,5.2,,,99.8,A,female,23,0.83,75.69404844,
STU1784,Nikhil Singh,6.7,89.1,51.3,96.7,,M,unknown,,5.9,3.3
STU1785,Aarav Joshi,6.9,86.7,47.6,83.8,B,,25,8.050775603,9.0,1.4
STU1786,Sneha Bansal,9.1,94.8,49.7,73.5,B,,-2,0.78,4.2,
STU1787,Krishna Malhotra,6.7,,45.5,75.4,B,Male,18,0.96,,
STU1788,Meera Kapoor,6.5,83.2,43.0,72.3,B,female,19,,5.1,4.5
STU1789,Navya Iyer,1.6,77.2,35.6,,,female,,0.9,9.8,7.4
STU1790,Reyansh Joshi,5.7,85.7,39.5,65.1,C,Male,21,0.86,4.3,1.8
STU1791,Harsh Reddy,2.4,92.7,38.1,80.2,B,,18,0.58,6.0,6.7
